claim_text,subject_entity,subject_type,subject_location,value,claim_domain,is_factual
when the home team be richmond the away team be st kilda with venue punt road oval and a crowd of 12000,richmond,Team,st kilda,12000,Sports,1
"north melbourne be the away team when richmond , the home team , score 135",richmond,Team,north melbourne,135,Sports,1
the capacity for josé amalfitani be 49540,josé amalfitani,Athlete,argentina,49540,Sports,1
the capacity for vélez s be less than 49000,vélez s,Team,argentina,49000,Sports,0
north melbourne play footscray at home where the attendance be 13972,footscray,Team,north melbourne,13972,Sports,1
"on march 26 , the washington versus bobcat game draw 16365 people into time warner cable arena",bobcat,Team,washington,16365,Sports,1
dwin radyo agila dagupan have a third of the power of dzec radyo agila 1062,dwin radyo,Team,agila,1062,Sports,0
carltton v melbourne have a crowd of 25000 crowd,carltton,Team,melbourne,25000,Sports,0
"the home team , st kilda , score 14.17 (101) against footscray",footscray,Team,st kilda,101,Sports,0
the largest game attendance be 9221 when the record be 7 - 15,blue jays,Team,toronto,9221,Sports,0
detroit be the visit team when attendance be greater than 41000,detroit red wings,Team,detroit,41000,Sports,0
match by essendon and south melbourne have crowd of 19000,essendon,Team,south melbourne,19000,Sports,1
"27 april 2001 s the almaty , kazakhstan when the sergey filimonov (kaz) be more than 210 kg",the sergey filimonov,Athlete,almaty,210,Sports,0
"team fitzroy , carlton , south melbourne , essendon , and st kilda have crowd of over 17000 on 7 may 1927",fitzroy,Team,carlton,17000,Sports,1
the united state and spain be the only country to have more than 1 participant in the 2008 iaaf world indoor championship - men 's 800 metre,iaaf,Team,the united state,800,Sports,1
"the ljvm coliseum winston - salem , nc location have 7900 in attendance",big ten conference,Team,nc,7900,Sports,0
the madison square garden attendance have 8426 more people than the conseco fieldhouse attendance,conseco,Team,indiana,8426,Sports,1
the conseco fieldhouse attendance have 8426 more people than the united center,conseco,Team,indiana,8426,Sports,0
joël champagne from canada be the pick as he have a 129 (from phoenix) in round 5,joël champagne,Team,canada,129,Sports,1
"in the nfl , derrick brook have the most consecutive start of any player with 208",nfl,Team,derrick brook,208,Sports,1
the hawks' highest score win between april 3 and april 15 be 122 point score in overtime against indiana 's 118 on april 10,hawks,Team,indiana,122,Sports,1
the hawk 's highest score win between april 3 and april 15 be 212 point score in overtime against indiana 's 100 on april 7,hawk,Team,indiana,212,Sports,0
"player blake miller , tight end from louisiana state , be pick number 168 from round number 7",blake miller,Athlete,louisiana state,168,Sports,0
richmond v collingwood game have a crowd of 25600,richmond,Team,collingwood,25600,Sports,0
"the score 274 ( - 14) have a year less than 1980 , and a margin of victory of 2 stroke , and a country of united state , and a player of jim furyk",jim furyk,Athlete,united state,274,Sports,0
"texas school lead the big 12 conference in championship title with a staggering total of 258 , with the next closest be oklahoma with a very modest total of 109",texas school,Team,oklahoma,258,Sports,1
oklahoma school lead the big 12 conference in championship title with 109 championship,the big 12,Team,oklahoma,109,Sports,0
there be 29175 crowd in attendance at the stkilda 's match at melbourne,stkilda,Team,melbourne,29175,Sports,1
the away team of north melbourne have the largest crowd of 21429,vfl,Team,north melbourne,21429,Sports,0
"the best attend colts game this year be against the giant , in front of 79101",colts,Team,indianapolis,79101,Sports,1
"on march 27 , the score be 107 - 98 against san diego",atlanta hawks,Team,san diego,107,Sports,1
"chuck chiatto pick 226 , us an american picked to play for the new jersey devil",chuck chiatto,Athlete,us,226,Sports,0
peter mcgeough play defence for the new york islander as pick 238,peter mcgeough,Athlete,the new york islander,238,Sports,0
kaj linna of the boston university (ncaa) club team have an average round of 8 and an overall larger than 131,kaj linna,Athlete,ottawa,131,Sports,1
south melbourne be the home game in which the crowd be 32613 at vfl park,vfl,Team,south melbourne,32613,Sports,0
the game play on september 27 with attendance of 56028 have record of 1 - 0 - 0 and los angeles ram as visitor,san francisco 49ers,Team,los angeles,56028,Sports,0
"arnold palmer and michael allen , in separate year , each win the championship with 274 point",arnold palmer,Athlete,canterbury,274,Sports,1
"davis love iii of the united state have a total of 297 , and to par of + 11",davis love iii,Team,the united state,297,Sports,0
"the most the cavs score in november 2006 be 133 , in a win against chicago",cavs,Team,chicago,133,Sports,1
"the worst loss the cavs suffer be by 12 , a 111 - 99 loss to washington",cavs,Team,washington,111,Sports,1
"the second highest point score by the cavalier be 133 , in a win against chicago",cavalier,Team,chicago,133,Sports,0
"when the detroit panther game have a score of 123 - 116 , the record be 6 - 9",panther,Team,chicago,123,Sports,1
the weight of choice player 56 be 303lb (137 kg),colts,Team,indianapolis,137,Sports,1
their most well - attend game be in front of 72975 at the new york gaints,redskins,Team,washington,72975,Sports,1
their most well - attend game be in front of 66005 at the philadelphia eagle,redskins,Team,washington,66005,Sports,0
week 1 of the 1983 season for the los angeles ram show the greatest attendance for the season with 75281 in the crowd,the los angeles ram,Team,los angeles,75281,Sports,1
week 11 of the 1983 season for the los angeles ram show the lowest attendance for the season with 31202 in the crowd,the los angeles ram,Team,los angeles,31202,Sports,1
week 1 of the 1983 season for the los angeles ram show the lowest crowd attendance for the season with 75281 in the crowd,the los angeles ram,Team,los angeles,75281,Sports,0
week 11 of the 1983 season for the los angeles ram show the largest crowd attendance for the season with 31202 in the crowd,the los angeles ram,Team,los angeles,31202,Sports,0
there be no club for shenyang ginde when there be more than 182 game,chinese super league,Team,shenyang ginde,182,Sports,1
"the winner of the 1938 us open be ralph guldahl , who win 1000",ralph guldahl,Athlete,us,1000,Sports,1
harry cooper come second in the 1938 us open and win 850 dollar,harry cooper,Athlete,us,850,Sports,0
"nick penner be the opponent at sydney , australia at ufc 127 with method of submission (rear naked choke) at round 1 with time 3:43",nick penner,Athlete,australia,127,Sports,0
wolfgang loitzl from austria be rank number 4 and have overall fht point of 987.1 (6),wolfgang loitzl,Athlete,austria,987,Sports,0
the number of point for simon ammann from austria be 261.5,simon ammann,Athlete,austria,261,Sports,0
in the first 10 week of the 1967 season the lowest attendance be 47131,browns,Team,cleveland,47131,Sports,1
"the cleveland brown play the minnesota viking on november 19 , 1967 with an attendance of 68 , 431",the cleveland,Team,minnesota,431,Sports,1
in the 1967 season the cleveland brown never play the minnesota viking with an attendance less than 72798,the cleveland,Team,cleveland,72798,Sports,0
devin brown (24) be the lead scorer in the game with a score of 73 - 101,devin brown,Athlete,san antonio,101,Sports,1
hayden ballantyne of fremantle score 100 more goal than kelvin lawrence of melbourne,hayden ballantyne,Athlete,melbourne,100,Sports,0
"steve ballesteros , from spain , have a total of 147",steve ballesteros,Athlete,spain,147,Sports,1
the oakland raider pick a defensive end from tulsa for pick number 131,oakland,Team,tulsa,131,Sports,1
the player that be pick by the new york jet with the 132 pick go to washington and play fullback,the new york jet,Team,washington,132,Sports,0
david graham have the highest score of 278 follow by dave stockton,david graham,Athlete,cleveland,278,Sports,1
david graham have the lowest score of 262 after dave stockton,david graham,Athlete,cleveland,262,Sports,0
game 71 be the best game that be play against the new york knickerbockers with a winnig score of 140,boston celtics,Team,new york,140,Sports,1
the offenhauser engine have win 10 year apart in the indianapolis 500 in 1950 and 1960,offenhauser,Team,indianapolis,500,Sports,1
rich dobbert from springfield be pick 426 overall,rich dobbert,Athlete,springfield,426,Sports,1
the new york yankee franchise have a percentage of 703 in 1998 when they win the world series,major league,Team,new york,703,Sports,1
"in round 13 , jim romaniszyn of edinboro be draft at an overall rank of 334",jim romaniszyn,Athlete,edinboro,334,Sports,1
the virginia school club achieve a rank of 384 in the 13th round,the virginia school club,Team,cleveland,384,Sports,0
jones have a transfer fee of 500000 to moving to preston north end,jones,Athlete,preston north end,500000,Sports,1
"gary player be the player from south africa , and have total score of 285",gary player,Athlete,south africa,285,Sports,1
"the television service , when hdtv be yes , and language be english be sky radio , sky music box italia , mtv hit , mtv classic , mtv music , radio capital tivu , mydeejay , match music , hip hop tv , rock tv , classica , rtl 102.5 tv",sky radio,Team,italia,102,Sports,0
"lindenwood university locate in athens , oh , be found in 1827 and have an enrollment of 11421",lindenwood university,Team,athens,11421,Sports,0
"pat thomas , from north carolina state , be overall pick number 185",pat thomas,Athlete,north carolina state,185,Sports,0
twins' record be 36 - 48 / 37 - 48 / 38 - 48 when they play the pavlik with an attendance lower that 50522,twins,Team,toronto,50522,Sports,0
"in the 1972 us open , orville moody and gary player have the same total of 301",orville moody,Athlete,us,301,Sports,1
all 6 game have over 56000 fan in attendance each time to view the baseball game,yankees,Team,new york,56000,Sports,1
"war memorial stadium little rock , ar have an attendance 53000 on october 21 , 1967",arkansas razorbacks,Team,ar,53000,Sports,1
"tcu be at razorback stadium , fayetteville , ar and have an attendance of 32000",arkansas razorbacks,Team,fayetteville,32000,Sports,0
"war memorial stadium little rock , ar have an attendance of 40000 on october 21 , 1967",arkansas razorbacks,Team,little rock,40000,Sports,0
north melbourne home team record an home score of 11.12 (78) while south melbourne record an home score of 15.16 (106),north melbourne,Team,south melbourne,106,Sports,1
north melbourne home team record an home score of 15.16 (106) while south melbourne record an home score of 11.12 (78),north melbourne,Team,south melbourne,106,Sports,0
"the player from the washington capital , who be bear in detroit , michigan , and wear jersey number 11 , have a height of 178 cm",bear,Athlete,the washington capital,178,Sports,1
"the player from the washington capital who be bear in detroit , michigan , and wear a jersey number under 15 have a height of 193 cm",bear,Athlete,the washington capital,193,Sports,0
air canada centre and it 's 18323 fan bring the team record to 20 - 12,air canada,Team,san antonio,18323,Sports,1
the game that bring the team 's record to 20 - 12 take place in the ford center and saw a total attendance of less than 17000 people,ford,Team,san antonio spurs,17000,Sports,0
34046 more crowd watch in mcg than in vfl park on 8 july 1972,vfl,Team,mcg,34046,Sports,1
40046 more crowd watch in mcg than in vfl park on 8 july 1972,vfl,Team,mcg,40046,Sports,0
the away team at the game where footscray score more than 10.8 (68) and the crowd be larger than 20200 be geelong,footscray,Team,geelong,20200,Sports,0
the person pick with 130 in round 9 be bob bilodeau from canada,bob bilodeau,Athlete,canada,130,Sports,1
"the world record for a 187 kg where snatch be total belongs to ramat gan , israel",ramat gan,Athlete,israel,187,Sports,0
"the new jersey lose 3 game in a row on march 25 , march 26 , and march 29 with score l 85 - 95 (ot) , l 87 - 98 (ot) , and l 87 - 112 (ot)",new jersey nets,Team,the new jersey,112,Sports,1
"the new jersey win 3 game in a row on march 25 , march 26 , and march 29 with score l 85 - 95 (ot) , l 87 - 98 (ot) , and l 87 - 112 (ot)",new jersey nets,Team,the new jersey,112,Sports,0
the attendance be 21469 crowd for the game when the record be 74 - 77,blue jays,Team,toronto,21469,Sports,1
the attendance be 21469 crowd for the game when the record be 75 - 77,blue jays,Team,toronto,21469,Sports,0
more than 100000 crowd attend the game against the washington redskins,redskins,Team,washington,100000,Sports,0
"australia be the only country to have album release under capitol record , reference catalog number 5638612",capitol record,Team,australia,5638612,Sports,1
indie label astralwerks release the album in australia under catalog number 5638612,indie label,Team,australia,5638612,Sports,0
round 6 have a pick of 125 and their nationality be the united state,denver,Team,the united state,125,Sports,1
22380 crowd be in attendance during the loss of weaver,weaver,Athlete,cleveland,22380,Sports,0
"in game 11 , when the record be 7 - 2 , the atlanta hawk defeat the boston celtic with a score of 111 - 107",the atlanta hawk,Team,boston,111,Sports,0
attendance against the detroit lion be 68264,minnesota vikings,Team,detroit,68264,Sports,1
the attendance for the game against the detroit lion never exceed 68000,minnesota vikings,Team,detroit,68000,Sports,0
"the opponent for attendance of 68264 be the detroit lion in november 18 , 1990",minnesota vikings,Team,detroit,68264,Sports,0
when the attendance be 54462 be game end in a 23 - 20 overtime loss against the chicago bear,minnesota vikings,Team,chicago,54462,Sports,0
round 7 have a pick of over 226 and a school / club team of arizona st,arizona,Team,arizona,226,Sports,0
the player from ucla with a position of pg have 258 rebound and 296 assist,phoenix suns,Team,ucla,258,Sports,0
"the los angeles ram have 47448 crowd in arte september 23 , 1960",ram,Team,los angeles,47448,Sports,1
the attendance for the phillies game be 28440 when the record be 30 - 33,phillies,Team,cleveland,28440,Sports,1
the highest attendance with a defeat by batista (4 - 5) be 42586,batista,Athlete,cleveland,42586,Sports,1
"player nick faldo , represent england win 15000 more than vijay singh , represent fiji",nick faldo,Athlete,england,15000,Sports,1
"their first game against the detroit lion have the smallest attendance , with only 12941 crowd attendance",los angeles rams,Team,detroit,12941,Sports,1
phoenix international raceway host by trentonian 200 length be on march 18,usac,Team,trentonian,200,Sports,0
18304 crowd be in attendance for the 35 - 14 loss to the denver bronco,bronco,Team,denver,18304,Sports,1
"the pre - week 10 game that have an attendance of over 38865 be on december 1 , 1968",patriots,Team,boston,38865,Sports,0
"there be an attendance of 20000 crowd at the brown vs baltimore colt at akron game september 7 , 1953",brown,Team,cleveland,20000,Sports,1
"the greatest attendance at a browns' game be on september 4 , 1953 at the detroit lion game , with the next greatest attendance of 36796 crowd on september 11 , 1953 when they play the chicago bear",browns,Team,chicago,36796,Sports,1
"there be an attendance 22336 at the browns' september 7 , 1953 , game",browns,Team,cleveland,22336,Sports,0
the highest overall be 228 for jeris pendleton of ashland,jeris pendleton,Athlete,ashland,228,Sports,1
the highest overall be 228 for mike hair of florida state,mike hair,Athlete,florida,228,Sports,0
john crawford be from the united state and be choose in the 7th round with pick 160,john crawford,Athlete,the united state,160,Sports,1
"the home team , south melbourne , score 15.11 (101) against hawthorn",hawthorn,Team,south melbourne,101,Sports,1
melbourne versus collingwood draw the largest overall attendance of 11432,collingwood,Team,melbourne,11432,Sports,0
there be a low of 114 total race point for belgium,galatasaray s.k.,Team,belgium,114,Sports,1
110 be the lowest number of total race point for the country of belgium,galatasaray s.k.,Team,belgium,110,Sports,0
the stadium in the city of priština have a capacity of 25000,football superleague of kosovo,Team,priština,25000,Sports,1
the quicken loan arena be the only arena to have a game attendance of over 20000 people,raptors,Team,toronto,20000,Sports,1
bo larsson of sweden have 302 league appearance and 119 league goal while egon jönsson have 200 league appearance and 99 league goal,bo larsson,Athlete,sweden,302,Sports,1
stellan nilsson of sweden have 179 league appearance and börje tapper of sweden have 191 league appearance,stellan nilsson,Athlete,sweden,179,Sports,1
ivar roslund of sweden have 302 league appearance and 119 league goal while egon jönsson have 200 league appearance and 99 league goal,ivar roslund,Athlete,sweden,302,Sports,0
bo larsson of sweden have 179 league appearance and börje tapper of sweden have 191 league appearance,bo larsson,Athlete,sweden,179,Sports,0
"arkansas state quarterback , gene bradley , be pick 259 of round 10",gene bradley,Athlete,arkansas,259,Sports,0
the record be 2 - 1 when attendance be over 70000 fan,redskins,Team,washington,70000,Sports,1
the record be 2 - 1 when attendance be over 80000 fan,redskins,Team,washington,80000,Sports,0
"the budweiser / g i joe 's 200 take place at the portland international raceway in portland , oregon",budweiser,Team,portland,200,Sports,1
the winner michael martin be give prize of 1000000 in an event of 2008 european poker championship in the city of london,michael martin,Athlete,london,1000000,Sports,1
"shooter sorin babii (rou) have a score of 695.1 in sarajevo , yugoslavia",sorin babii,Athlete,sarajevo,695,Sports,0
the kansas city chief lose to the cleveland brown in front of 63991 crowd attendance,kansas city,Team,kansas city,63991,Sports,1
richmond be the home team with a score of 28.22 (190) and they play st kilda at arden street oval,st kilda,Team,richmond,190,Sports,0
toronto maple leaf have an attendance of 19406 guest,maple leaf,Team,toronto,19406,Sports,1
toronto maple leaf have an attendance of 17080 guest,maple leaf,Team,toronto,17080,Sports,0
"the prize money be 1041 for player jerry barber , jack burke , jr , and bob rosburg of the united state",jerry barber,Athlete,the united state,1041,Sports,1
"the record for the boston celtic advance to 39 - 12 after beat the denver nugget on february , 17 , with a score of 105 - 109",celtic,Team,boston,105,Sports,0
"on october 17 , the washington wizard play atlanta and win 107 - 90 with john wall have the high in assist (6)",john wall,Athlete,atlanta,107,Sports,0
"there be 60905 in attendance on november 16 , 1975 in the game against the new england patriot",dallas cowboys,Team,england,60905,Sports,1
the fewest number of crowd attendance for a game be 64595,browns,Team,cleveland,64595,Sports,1
the greatest number of crowd attendance for a game be 78560,browns,Team,cleveland,78560,Sports,1
the fewest number of crowd attendance for a game be under 60000,browns,Team,cleveland,60000,Sports,0
the greatest number of crowd attendance for a game be more than 80000,browns,Team,cleveland,80000,Sports,0
for 4 game during the 1972 san francisco 49ers season there be an attendance of 65124,49ers,Team,san francisco,65124,Sports,1
mladost stadium in belgrade mark attendance less than 8000,serbia national football,Team,belgrade,8000,Sports,0
for the home game of los angeles lakers at staple center the attendance be 18997,portland trail blazers,Team,los angeles,18997,Sports,1
olin dutra of the united state score 70 + 70 + 70 + 74 to equal 284 point and finish third,olin dutra,Athlete,the united state,284,Sports,1
craig wood of the united state score 69 + 72 + 68 + 73 to equal 282 point and tie for first,craig wood,Athlete,the united state,282,Sports,1
paul runyan of the united state score 70 + 72 + 75 + 72 to equal 289 point and finish 7th,paul runyan,Athlete,the united state,289,Sports,1
"on february 15 , the game between the western bulldog and north melbourne brought in a crowd of 8256",the western bulldog,Team,north melbourne,8256,Sports,1
the week 7 game have an attendance of 59638,redskins,Team,washington,59638,Sports,1
59638 be the number of attendance on the 8th week,redskins,Team,washington,59638,Sports,0
raymond felton have the highest assist (9) in the november 13 game at time warner cable arena 13697,raymond felton,Athlete,charlotte,13697,Sports,0
south melbourne lose to collingwood at lake oval on 17 may 1930 with score of 12.12 (84) and 16.19 (115) respectively,collingwood,Team,south melbourne,115,Sports,1
"chicago , sacramento , and new jersey play on january 23 , 258 , and 28 respectively",sacramento,Team,chicago,258,Sports,1
"morgan pressel , make 66177",morgan pressel,Athlete,u.s.,66177,Sports,1
"chick harbert , clayton heafner , byron nelson and sam snead be from the united state and be worth 356",chick harbert,Athlete,the united state,356,Sports,1
"the october 23 , 1988 away game against the atlanta falcon have an attendance of 45092",atlanta,Team,new york,45092,Sports,1
"on october 23 , 1988 with attendance at 45092 a 23 - 16 victory happen vs atlanta falcon",atlanta falcon,Team,new york,45092,Sports,1
the game with the highest attendance occur on november 4 in los angeles where the 49ers lose to the ram in front of 54346 attendee,ram,Athlete,los angeles,54346,Sports,1
the game with the lowest attendance occur on november 25 in new york where the 49ers tie with the new york yank in front of 10184 attendee,49ers,Team,new york,10184,Sports,1
the game with the highest attendance occur on november 4 in los angeles where the 49ers lose to the ram in front of 49538 attendee,ram,Athlete,los angeles,49538,Sports,0
the game with the lowest attendance occur on november 25 in new york where the 49ers tie with the yank in front of 15121 attendee,49ers,Team,new york,15121,Sports,0
"during week 3 , the fedex field have an attendance of 84431",fedex,Team,washington,84431,Sports,1
on week 3 at the fedex field the attendance be 84431,redskins,Team,washington,84431,Sports,1
on week 3 at the fedex field the attendance be less than 84431,fedex,Team,washington,84431,Sports,0
"steve stricker , from the united state , win 1350000 , and be - 17 under par",steve stricker,Athlete,the united state,1350000,Sports,1
alastair forsyth score below 144 even though he 's from scotland,alastair forsyth,Athlete,scotland,144,Sports,0
"the marlboro team alfa romeo use an alfa romeo v12 engine in 1980 , with an alfa romeo 179 chassis",alfa romeo,Team,marlboro,179,Sports,1
"the country of south africa , with player thomas aiken , have a score of 281 and 90400 money ( )",thomas aiken,Athlete,the country of south africa,281,Sports,1
"australia 's player , mathew goggin , have 157000",mathew goggin,Athlete,australia,157000,Sports,1
"281 be the date which have a money of 90400 , and a country of south africa , and a player of thomas aiken",thomas aiken,Athlete,south africa,281,Sports,0
"during the 1964 san francisco 49er season , their least attended match be 41854 on december 13 against the detroit lion",49er,Team,san francisco,41854,Sports,0
the most attended game of the 1965 san francisco 49er season be on november 1 when the team play the dallas cowboys with 100000 crowd watch,49er,Team,san francisco,100000,Sports,0
kevin mcgill have the lowest overall of 325 in round 12 and play for arkansas,kevin mcgill,Athlete,cleveland,325,Sports,0
"in 2004 , she win 2 more itf title and reach a wta final in seoul she defeat anna smashnova to reach the semifinal in sopot , and reach the quarterfinal in casablanca she make her debut in the top 100 (at no 100) on 27 september 2004",anna smashnova,Athlete,seoul,100,Sports,1
"in 2004 , he win 2 more itf title and reach a wta final in seoul he defeat anna smashnova to reach the semifinal in sopot , and reach the quarterfinal in casablanca she make her debut in the top 100 (at no 100) on 27 september 2004",anna smashnova,Athlete,seoul,100,Sports,0
the location for charlotte be american airline arena 19986,lakers,Team,charlotte,19986,Sports,0
the cavalier highest score in april be 107 point against orlando on april 11,cavalier,Team,orlando,107,Sports,1
"the lowest attendance be on october 19 , 1975 with 39990 attendee",49ers,Team,san francisco,39990,Sports,0
gw flower cb wishart partner the game with 166 run and an opponent of namibia,cb wishart,Athlete,namibia,166,Sports,1
"on 10 - 03 - 2003 , 153 run be score against sri lanka in a match at johannesburg",sri lanka,Athlete,johannesburg,153,Sports,1
"johnathan thurston score 195 more goal than josh hannay , who score the second most goal of any player",johnathan thurston,Athlete,north queensland,195,Sports,1
"matthew bowen have the highest number of tries , 538 , of any player",matthew bowen,Athlete,north queensland,538,Sports,0
"johnathan thurston score 190 more goal than josh hannay , who score the second most field goal of any player",johnathan thurston,Athlete,north queensland,190,Sports,0
there be a total of 804888 crowd attendance in the 1977 oakland raider season,oakland raiders,Team,oakland,804888,Sports,1
vladimir kovalev be the soviet union national with 185 point,vladimir kovalev,Athlete,soviet union,185,Sports,1
when the nation be soviet union and the point be more than 185 the name be vladimir kovalev,vladimir kovalev,Athlete,soviet union,185,Sports,0
vladimir kovalev from soviet union be at place 28 with their 185 point,vladimir kovalev,Athlete,soviet union,185,Sports,0
the score when the home team be chicago be 102 - 100,cleveland cavaliers,Team,chicago,102,Sports,0
"the name of the race be norton 200 that occur in brooklyn , michigan with a sanctioning of cart",norton,Team,brooklyn,200,Sports,1
"the name of the race be norton 200 / gould grand prix 150 that occur in watkins glen , new york with a sanctioning of cart",norton,Team,watkins glen,200,Sports,0
"etu molden have 166 more yard than rob mager , but they have the same number of touchdown",etu molden,Athlete,chicago,166,Sports,1
"etc molder have 166 more yard than rob meager , but they have the same number of touchdown",rob,Athlete,chicago,166,Sports,0
the lowest pick for the boston patriot be 152,american football league,Team,boston,152,Sports,0
"the wide receiver , whose pick be less than 130 , be choose be south carolina",green bay,Team,south carolina,130,Sports,1
hartlepool unite tied leeds unite with 2776 in attendance however leeds united win 4 - 2 on penalty,leeds,Team,hartlepool,2776,Sports,0
"the game against the new england patriot on october 31 , 1971 have 45092 fan in the stand",the new england patriot,Team,san francisco,45092,Sports,1
the attendance on march 17 at the verizon center 16227,hawks,Team,atlanta,16227,Sports,1
the red sox be the opponent with the attendance of 31777 on july 3,the red sox,Team,toronto,31777,Sports,1
"the highest away team score be 20.13 (133) , the game with melbourne as the home team , against carlton",melbourne,Team,carlton,133,Sports,1
the record of the loss match play on august 18 with yankee as opponent and attendance of 50324 be plesac 63 - 54,yankee,Team,toronto,50324,Sports,0
"heather fell of great brittain have a shoot score of 185 (for 1156 points) , and have a total greater than 5400",heather fell,Athlete,great brittain,185,Sports,1
shane lee have 477 total run,shane lee,Athlete,australia,477,Sports,1
shane lee have 477 run,shane lee,Athlete,australia,477,Sports,1
the attendance during the charger vs raider game on oct 26 be 42796,charger vs raider,Team,oakland,42796,Sports,0
"the attendance be 79349 , when the brown play the st louis cardinal on october 13 , 1968",brown,Team,cleveland,79349,Sports,1
"the atlanta falcon play the st louis cardinal on october 13 , 1968 for 79349 crowd",the atlanta falcon,Team,cleveland,79349,Sports,0
liverpool and wimbledon have 12571 more crowd attendance at their match in liverpool than at their replay match at wimbledon during the 1994 - 95 fa cup,wimbledon,Team,liverpool,12571,Sports,1
liverpool and wimbledon have 12571 less crowd attendance at their match in liverpool than at their replay match at wimbledon during the 1994 - 95 fa cup,liverpool,Team,liverpool,12571,Sports,0
jack nicklaus of the united state be in 2 place with a combined score of 282,jack nicklaus,Athlete,the united state,282,Sports,1
"dinamo minsk be in 8th position in 1998 season , and play in dinamo , minsk stadium which have a capacity of 41040",dinamo minsk,Team,dinamo,41040,Sports,1
during week 1 and week 2 the attendance for game show a difference of 158,redskins,Team,washington,158,Sports,1
"a total of 298683 crowd attend the the december 8 through decemer 29 , 2002 game",redskins,Team,washington,298683,Sports,1
during week 4 and week 7 the attendance for game show a difference of 158,redskins,Team,washington,158,Sports,0
"a total of 298683 crowd attend the the december 17 through decemer 29 , 2002 game",redskins,Team,washington,298683,Sports,0
"vita styopina , from ukraine , have a 193 of xxo",vita styopina,Athlete,ukraine,193,Sports,1
county craig have a population of 5091,appalachian regional commission,Team,craig,5091,Sports,1
when the record be 23 - 59 the cincinnati royal score 122 - 135,cleveland cavaliers,Team,cincinnati,122,Sports,1
the boston celtic be the opponent when the score be 101 - 105 and the h / a / n be h,celtic,Team,boston,101,Sports,0
the away team with the lowest crowd number of 2998 be the new zealand breaker,nbl,Team,new zealand,2998,Sports,1
the win money be 450 when wiffy cox of the united state be + 15 to par,wiffy cox,Team,the united state,450,Sports,1
there be 350.0 when wiffy cox of united state be + 15 to par,wiffy cox,Team,united state,350,Sports,0
"the 15th of april have a location attendance of madison square garden 17461 , and a high rebound of david lee (12)",david lee,Athlete,new york,17461,Sports,0
"there be 2 game against the los angeles ram play on october 16 , 1988 and december 18 , 1988 with an attendance of more than 70000",the los angeles ram,Team,san francisco,70000,Sports,0
"in january 2013 , dimitar danchev win 1859000 in paradise island",dimitar danchev,Athlete,paradise island,1859000,Sports,1
daniel pidun win the prize of 880000 at berlin in april 2013,daniel pidun,Athlete,berlin,880000,Sports,1
ruben visser get the 770000 prize when he be the winner at london,ruben visser,Athlete,london,770000,Sports,0
the attendance for week 14 against the chicago bear be 54107,atlanta falcons,Team,chicago,54107,Sports,1
51798 crowd attend the game against san francisco,atlanta,Team,san francisco,51798,Sports,1
less than 50000 attend the game vs san francisco,atlanta falcons,Team,san francisco,50000,Sports,0
total attendance against san francisco be 56871,atlanta falcons,Team,san francisco,56871,Sports,0
the highest game attendance for the 1974 st louis cardinal be 64146 against the dallas cowboy,st louis,Team,dallas,64146,Sports,1
the february 25 game at new orleans be the only 1 attend by less than 20000 people,detroit pistons,Team,new orleans,20000,Sports,0
"the game with the highest attendance be against stuttgart , where there be 67141 supporter present",manchester united f.c,Team,stuttgart,67141,Sports,1
a crowd of 10000 crowd gather to watch north melbourne play footscray,footscray,Team,north melbourne,10000,Sports,1
"during the 1944 victorian football league , hawthorn beat st kilda with a score of 11.7 (73) to 9.12 (66) in front of a crowd of 8000",victorian football league,Team,st kilda,8000,Sports,0
: a crowd of 10000 crowd gather to watch north melbourne play footscray in punt road oval,footscray,Team,north melbourne,10000,Sports,0
"the 1985 debut in europe have less than 76 goal , more than 151 game , and a rank greater than 5",uefa,Team,europe,151,Sports,1
"there be zero debut in europe that have less than 76 goal , with more than 151 game and a rank greater than 5",uefa,Team,europe,151,Sports,1
"there be zero debut in europe that have less than 76 goal , with more than 151 game and a rank greater than 5 in 1995",uefa,Team,europe,151,Sports,0
"the venue with the smallest capacity dinamo , minsk hols more than 40000 more than the venue with the smallest capacity , lokomotiv , also in minsk",belarusian premier league,Team,minsk,40000,Sports,0
only the geelong vs north melbourne match have a crowd of less than 10000,geelong,Team,north melbourne,10000,Sports,1
only the geelong vs north melbourne match have a crowd of more than 20000,geelong,Team,north melbourne,20000,Sports,0
st kilda play as away team in the game between richmond and st kilda where the home team score be 16.11 (107),st kilda,Team,richmond,107,Sports,1
"boston win 104 - 101 (ot) in madison square garden , with an attendance of 19763 in game 77",new york knicks,Team,boston,104,Sports,1
"the highest score away team during round 3 of the 1929 vfl season be richmond with 15.17 (107) , compare to the lowest score away team which be south melbourne with 4.14 (38)",vfl,Team,richmond,107,Sports,1
the washington capital have pick number 155,nhl,Team,washington,155,Sports,1
the washington capital select a player with draft number 155,nhl,Team,the washington capital,155,Sports,1
washington capital be associate with draft number 161,nhl,Team,washington,161,Sports,0
césar cielo score a fast time on the 4×100 m freestyle freestyle in são paulo than in beijing,césar cielo,Athlete,são paulo,100,Sports,0
the december 4 game have the highest attendance of the season with 57808 crowd,49ers,Team,san francisco,57808,Sports,0
"on 16 july 2013 , russia set the 4×100 m medley relay record at 3:58.04",universiade,Team,russia,100,Sports,1
